Padalinio pavadinimas ,"Kategorija, kodas, taisyklių punktas",Pirkimo Nr.,"Sutarties Nr., PVM sąskaitos Nr.",Suma,"Prekių, paslaugų, darbų pavadinimas",Tiekėjai
Teisės d-to Civilinės metrikacijos skyrius,16 paslaugų kategorija BVPŽ kodas 905131007,1,"2011-02-17 sutartis Nr. A64-3(3.10.22-FN4) UAB ""Ecoservice""",4065.6,Buitinių atliekų išvežimo paslaugos,"UAB ""Švarus miestas', UAB ""VSA Vilnius"", UAB ""Ecoservice"""
Personalo skyrius,24 paslaugų kategorija BVPŽ kodas 80522000-9,2,2011-01-17 PVM sąskaita faktūra Nr. 012925 VšĮ Respublikinis energetikų mokymo centras,819.00,"Seminaras ""Ypatingo statinio specialiųjų statybos darbų techninė priežiūra""",VšĮ Respublikinis energetikų mokymo centras
Personalo skyrius,24 paslaugų kategorija BVPŽ kodas 80522000-9,3,2011-01-14 PVM sąskaita faktūra MKC-000800 VšĮ Lietuvos savivaldybių asociacijos Mokymo ir konsultavimo centras,478,Seminaras -susitikimas savivaldybių finansų ir biudžeto padalinių vadovams,VšĮ Lietuvos savivaldybių asociacijos Mokymo ir konsultavimo centras
Personalo skyrius,24 paslaugų kategorija BVPŽ kodas 80522000-9,4,"2011-01-21 PVM sąskaita faktūra UAB ""Mokesčių srautas""",1161.60,"Seminaras ""Teisių gynimo mechanizmai viešuose pirkimuose""","UAB ""Mokesčių srautas"""
"Kultūros, sporto ir turizmo d-to Turizmo skyrius",13 paslaugų kategorija BVPŽ kodas 79341000-6,5,"2011-01-28 PVM sąskaita faktūra Nr. EKS 2011020 UAB ""Ekspobalta""",8904.00,Vilniaus miesto reklama  tarptautinėse turizmo parodose Lillestrome Ir Madride,"UAB ""Ekspobalta"""
Verkių seniūnija,BVPŽ kodas 45420000-7,6,"2011-02-07 sutartis Nr. A62-5(3.10.21-FN4) UAB ""Alvora""",3642.10,Verkių seniūnijos rinkimų apylinkių inventoriaus montavimo ir remonto darbai,"UAB ""Alvora"", UAB ""Stebulė"", UAB ""Agranga"""
Turto valdymo ir verslo paslaugų d-to Turto valdymo ir privatizavimo skyrius,12 paslaugų kategorija BVPŽ kodas 71410000-5,7,2011-02-11 sutartis Nr. A64-5(3.10.22-TR) VĮ Valstybės žemės fondas,9982.5,Miestų planavimo paslaugos,VĮ Valstybės žemės fondas
Informacinių technologijų skyrius,1 paslaugų kategorija BVPŽ kodas 50334140-8,8,,,Telefono remontas,
Naujosios Vilnios seniūnija,BVPŽ kodas 45420000-7,9,"2011-02-22 sutartis Nr. A62-21(3.10.21-FN4) UAB ""Priemiestis""",4583.48,Rinkimų apylinkių paruošimo darbai,"UAB ""Tavastis"", UAB ""Šarvas"", UAB ""Priemiestis"""
Vilkpėdės seniūnija,BVPŽ kodas 45420000-7,10,"2011-02-15 sutartis Nr. A62-11(3.10.21-FN4) UAB ""Avarija""",2798.33,Rinkimų apylinkių paruošimas,"UAB ""Avarija"", Valstybės  įmonė prie Pravieniškių 1-ųjų pataisos namų Vilniaus filialas, UAB 'Naujamiesčio būstas"""
Komunalinio ūkio d-to Energetikos ir statinių skyrius,1 paslaugų kategorija BVPŽ kodas 50750000-7,11,"2011-04-11 sutartis Nr. A64-28(3.10.22-UK) UAB ""Kone""",16988.4,Keltuvų neįgaliems techninė priežiūra,"UAB ""KONE, UAB ""Kauno liftai"", AB ""PUNTUKAS"", UAB ""Schindler-Liftas"""
Žirmūnų seniūnija,BVPŽ kodas 45420000-7,12,"2011-02-09 sutartis Nr. A62-7(3.10.21-FN4) UAB ""Greivis""",7390,Rinkimų apylinkių įrengimas,"UAB ""StatVilsta"", UAB ""Graivis"", UAB ""Metras"""
Grigiškių seniūnija,BVPŽ kodas 45420000-7,13,"2011-02-21 sutartis Nr. A62-18(3.10.21-FN4) UAB ""Grigiškių komunalinis ūkis""",1399.25,Rinkimų apylinkių įrengimas,"UAB ""Grigiškių komunalinis ūkis"", UAB ""Gedulis"", UAB 'Lentvario komunalinis ūkis"""
"Kultūros, sporto ir turizmo d-tas",BVPŽ kodas 03121210-0,14,"2011-03-01 PVM sąsk. faktūra Nr. 00004570 UAB ""Shishi"", 2011-03-30 PVM sąsk. faktūra Nr. 00004690 UAB ""Shishi"",  2011-05-05 PVM sąsk. faktūra Nr. 00004812 UAB ""Shishi"", 2011-08-04 PVM sąsk. faktūra Nr. 00005059 UAB ""Shishi"", 2011-09-05 PVM sąsk. faktūra Nr. 00005126 UAB ""Shishi"",  2011-10-03 PVM sąsk. faktūra Nr. 00005189 UAB ""Shishi"", 2011-11-02 PVM sąsk. faktūra Nr. 00005265 UAB ""Shishi"" ",8450.7,Gėlės,"UAB ""Shishi"", UAB ""Ogmėja"", UAB ""Florisima"""
"Kultūros, sporto ir turizmo d-tas",17 paslaugų kategorija BVPŽ kodas 55300000-3,15,"2011-01-31 PVM sąsk. faktūra Nr. 00573 UAB PATYS, 2011-02-03 PVM sąsk. faktūra Nr. 00575 UAB PATYS, 2011-02-28 PVM sąsk. faktūra Nr. 00583 UAB PATYS, 2011-02-28 PVM sąsk. faktūra Nr. 00584 UAB PATYS, 2011-03-01 PVM sąsk. faktūra Nr. 00585 UAB PATYS, 2011-03-31 PVM sąsk. faktūra Nr. 00592 UAB PATYS, 2011-03-31 PVM sąsk. faktūra Nr. 00593 UAB PATYS,  2011-04-29 PVM sąsk. faktūra Nr. 00602 UAB PATYS,  2011-04-29 PVM sąsk. faktūra Nr. 00604 UAB PATYS,  2011-05-23 PVM sąsk. faktūra Nr. 00610 UAB PATYS,  2011-05-23 PVM sąsk. faktūra Nr. 00611 UAB PATYS,  2011-05-31 PVM sąsk. faktūra Nr. 00616 UAB PATYS,  2011-05-31 PVM sąsk. faktūra Nr. 00615 UAB PATYS, 2011-06-02 PVM sąsk. faktūra Nr. 00622 UAB PATYS, 2011-06-30 PVM sąsk. faktūra Nr. 00625 UAB PATYS, 2011-07-29 PVM sąsk. faktūra Nr. 00631 UAB PATYS, 2011-08-31 PVM sąsk. faktūra Nr. 00632 UAB PATYS, 2011-09-13 PVM sąsk. faktūra Nr. 00637 UAB PATYS, 2011-09-30 PVM sąsk. faktūra Nr. 00641 UAB PATYS, 2011-11-30 PVM sąsk. faktūra Nr. 00656 UAB PATYS, 2011-12-01 PVM sąsk. faktūra Nr. 00658 UAB PATYS, 2011-12-05 PVM sąsk. faktūra Nr. 00659 UAB PATYS, 2011-12-30 PVM sąsk. faktūra Nr. 00666 UAB PATYS, 2011-08-31 PVM sąsk. faktūra Nr. 00633 UAB PATYS",3783.69,Svečių aptarnavimo paslaugos Savivaldybės administracinaime pastate,UAB PATYS
Pašilaičių seniūnija,BVPŽ kodas 45420000-7,16,"2011-02-17 sutartis Nr. A62-17(3.10.21-FN4) UAB ""PRO Racotech""",2122.86,6 rinkimų apylinkių Pašilaičių seniūnijos teritorijoje įrengimas 2011 m. Savivaldybių rinkimams,"UAB ""Pašilaita"", UAB ""Karoliniškių būstas"", UAB PRO RACOTECH"
Lazdynų seniūnija,BVPŽ kodas 45420000-7,17,"2011-02-15 sutartis Nr. A62-13(3.10.21-FN4) UAB ""Statvista""",3679.61,Rinkimų apylinkių parengimas savivaldybių tarybų rinkimams,"UAB ""Orgtechnika"", UAB ""City Cervice"", UAB ""Statvilsta"""
Šnipiškių seniūnija,BVPŽ kodas 45420000-7,18,"2011-02-22 sutartis Nr. A62-19(3.10.21-FN4) UAB ""Sportas ir mada""",1882.36,Rinkimų apylinkių paruošimas,"UAB ""Sportas ir mada"", UAB ""Baseta', UAB ""Dizaino centras"", UAB ""Agranga"""
Naujamiesčio seniūnija,BVPŽ kodas 45420000-7,19,"2011-02-25 sutartis nr. A62-26(3.10.21_FN4) UAB ""Eurorenovacijos""",3694.21,"2011 m. savivaldybių rinkimmams pasirengti apylinkėms inventoriaus remonto, atvežimo, sumontavimo, demontavimo paslaugos","UAB ""Avarija"", UAB ""Stebulė"", UAB ""Eurorenovacijos"""
Naujininkų seniūnija,BVPŽ kodas 45420000-7,20,"2011-02-17 sutartis Nr.A62-15(3.10.21-FN4) UAB ""Naujininkų ūkis""",5585,Rinkimų apylinkių įrengimas,"UAB ""Naujininkų ūkis"", UAB ""Micaras"", UAB ""Senovė"""
Personalo skyrius,24 paslaugų kategorija BVPŽ kodas 80522000-9,21,"2011-01-27 PVM sąskaita faktūra Nr. 1472 UAB ""Espertų mugė""",1016.4,"Seminaras ""Viešieji pirkimai - pakeitimai, klaidos, sutartys""","UAB ""Espertų mugė"""
Personalo skyrius,24 paslaugų kategorija BVPŽ kodas 80522000-9,22,"2011-02-03 PVM sąskaita faktūra Nr. 1495 UAB ""Ekspertų mugė""",677.6,"Seminaras ""Viešųjų pirkimų teisinio reglamentavimo pokyčiai""","UAB ""Ekspertų mugė"""
Karoliniškių seniūnija,BVPŽ kodas 45420000-7,23,"2011-02-14 sutartis Nr. A62-9(3.10.21-FN4) UAB ""Stebulė""",4100.00,Rinkimų apylinkių įrengimo darbai,"UAB ""Lentvario komunalinis ūkis"", UAB ""Vilniaus Zunda', UAB ""Stebulė"""
Žvėryno seniūnija,BVPŽ kodas 45420000-7,24,"2011-02-14 sutartis A62-10(3.10.21-FN4) UAB ""Avarija""",2297.87,5 rinkiminių apylinkių įrengimo darbai,"UAB ""Jurita"", UAB ""Avarija', UAB ""Naujamiesčio būstas"""
