Padalinio pavadinimas ,"Kategorija, kodas, taisyklių punktas",Pirkimo Nr.,"Sutarties Nr., PVM sąskaitos Nr.", Pirkimo suma su sutarties pratęsimu Lt / galutinė suma 1 metams Lt,"Prekių, paslaugų, darbų pavadinimas",Tiekėjai
Viešųjų ryšių skyrius,10 paslaugų kategorija BVPŽ kodas 79311200-9,1,PVm sąskaita-faktūra Nr. A0020583,"  4,501.20 Lt ",Žiniasklaidos stebėsena,"UAB ""Addvisors""; UAB ""Mediaskopas""; UAB ""Magu"""
Civilinės metrikacijos skyrius,16 paslaugų kategorija BVPŽ kodas 90511200-4,2,"2013-02-26 sutartis Nr. A64-11(3.10.22-FN4) UAB ""Ecoservice""","  6,120.00 Lt ",Buitinių atliekų surinkimas ir išvežimas iš atliekų surinkimo aikštelės K. Kalinausko g. 21/1 Vilniuje,"UAB ""SKT Environmental Servines Lietuva"", UAB ""Ecoservice"", UAB ""Ekonovus"""
E. miesto departamentas,7 paslaugų kategorija BVPŽ kodas 72212000-4,3,"2013-05-14 sutartis Nr. A64-32(3.10.22-FN4) UAB ""BalTistamo""","  9,900.00 Lt ",Laiko žymos (formavimo paslaugos) pirkimas,"VĮ Registrų centras, UAB ""BaltStamp"""
Personalo departamentas,24 paslaugų kategorija BVPŽ kodas 80522000-9,4,Neįvyko,,Seminaras - susitikimas finansų ir biudžeto padalinių vadovams,
Aprūpinimo ir transporto skyrius,BVPŽ kodas 09100000-0,5,"2013-01-29 sutartis Nr. A68-6 (3.10.23-FN4) UAB ""Lukoil Baltija""","  60,500.00 Lt ",Kuras,"UAB ""Lukoil Baltija"""
Miesto ūkio ir transporto departamentas,BVPŽ kodas 45453100-8,6,"2013-05-10 sutartis Nr. A62-11 (3.10.21-UK) UAB ""Kompanija Vitrum""","  156,097.57 Lt ",Pastato Maironio g. 14a remontas (tualetas Sereikiškių parke),"UAB ""EG Plus"", UAB ""Portalas"", UAB ""Kompanija Vitrum"""
Personalo departamentas,24 paslaugų kategorija BVPŽ kodas 80522000-9,7,"2013-01-29 PVM sąskaita faktūra Nr. ALK 13022 Asociacija ""Lietuvos keliai""","  3,593.70 Lt ","Ypatingo statinio bendrosios statinio statybos techninės priežiūros vadovo (statinių grupės: susisiekimo komunikacijos: keliai, keliai (gatvės) atestato pratęsimas","Asociacija ""Lietuvos keliai"""
Miesto ūkio ir transporto departamentas,BVPŽ kodas 45223000-6,8,2013-06-08 sutartis Nr. A62-81 (3.10.21-UK) VšĮ Vizualinių komunikacijų studija,"  493,363.00 Lt ",Naujosios Vilnios geležinkelio stoties memorialo uždengimas,"UAB ""Kerista"", VšĮ ""Vizualinių komunikacijų studija"""
Verkių seniūnija,BVPŽ kodas 15800000-6,9,2013-02-11 PVM sąskaita faktūra Nr. A55-1198 G. Zinkevičienės personalinė įmonė,"  4,532.18 Lt ",Įvairūs maisto produktai Verkių seniūnijos renginiams organizuoti,"UAB ""K. Šriupšos kavinė-baras"", G. Zinkevičienės personalinė įmonė,  UAB ""Lukre"""
Personalo departamentas,24 paslaugų kategorija BVPŽ kodas 80522000-9,10,2013-02-08 PVM sąskaita faktūra Nr. CONFINN01022,  440.00 Lt ,Darbuotojų sauga ir sveikata' 2013,"UAB ""Confinn"""
Personalo departamentas,24 paslaugų kategorija BVPŽ kodas 80522000-9,11,2013-02-14 PVM sąskaita faktūra Nr. DPF K179,"  10,000.00 Lt ",Lietuvos ekonomikos konferencijs 2013,"VšĮ ""Demokratijos plėtros fondas"""
Aprūpinimo ir transporto skyrius,BVPŽ kodas 32323000-3,12,"2013-03-20 sutartis Nr. A68-10 (3.10.23-FN4) UAB ""Unolita""","  4,961.00 Lt ",Vaizdo sufleris,"UAB ""Elektros šuolis"", UAB ""Penkių kontinentų komunikacijų centras"", UAB ""Unolita"", UAB ""Konferenta"""
E. miesto departamentas,13 paslaugų kategorija BVPŽ kodas 79341100-7,13,"2013-04-12 sutartis Nr. A64-19 (3.10.22-FN4) UAB ""New Agency""","  9,982.50 Lt ","""SMART VILNIUS"" firminio stiliaus sukūrimas","UAB ""New Agency"", Darius Užpalis, Paulius Jautakas"
Personalo departamentas,24 paslaugų kategorija BVPŽ kodas 80522000-9,14,2013-02-27 PVM sąskaita faktūra Nr. CONFINN01226,  580.00 Lt ,Viešieji pirkimai tiekėjams ir perkančiosiosms organizacijoms,"UAB ""Confinn"""
Turizmo skyrius,12 paslaugų kategorija BVPŽ kodas 71241000-8,14/1,2013-05-28 sutartis Nr. A64-36 (3.10.22-EK) VšĮ Turizmo plėtros institutas,"  70,180.00 Lt ","Naujų turizmo maršrutų vystymo koncepcijos ir maršrutus pristatančios informacijos surinkimo, įvertinimo bei galutinio parengimo paslaugos","VšĮ ""Turizmo plėtros institutas"", Ūkio subjektų grupė: UAB ""Eurointegracijos projektai"" (pagrindinis tiekėjas), UAB ""Lyderio grupė"""
Personalo departamentas,24 paslaugų kategorija BVPŽ kodas 80522000-9,15,2013-03-07 PVM sąskaita faktūra Nr. EMC 130255 UAB Ekonomikos mokymo centras,  220.00 Lt ,Mokinio krepšelio lėšų planavimas ir naudojimas 2013 metais,UAB Ekonomikos mokymo centras
Aprūpinimo ir transporto skyrius,BVPŽ kodas 42530000-0,16,"2013-07-11 sutartis Nr. A68-22(3.10.23-FN4) UAB ""Inreal pastatų priežiūra""","  19,985.00 Lt ",Šaldymo stočių dalys,"UAB ""Inreal pastatų priežiūra"""
Personalo departamentas,24 paslaugų kategorija BVPŽ kodas 80522000-9,17,2013-03-12 PVM sąskaita faktūra Nr. FEDANR 130100301 Vilniaus universitetas,"  2,926.80 Lt ",Naujienos sveikatos priežiūros vadybininkams,Vilniaus Universitetas
Miesto ūkio ir transporto departamentas,BVPŽ kodas 35821000-5,18,2013-03-20 sutartis Nr. A68-8 (3.10.23-UK) VšĮ Vizualinių komunikacijų studija,"  9,991.00 Lt ",Dvigubos spaudos poliesterinės vęliavėlės su koteliu,"VšĮ ""Dizaino artelė"", UAB ""Reklamos klasės grupė"", VšĮ ""Vizualinių komunikacijų studija"""
