Komisija,Padalinio pavadinimas,"Kategorija, kodas, taisyklių punktas",Pirkimo grupė,Pirkimo Nr.,Rašto  vizavimo data ,Vokų atplėšimo  data,"Sutarties, data ir Nr. arba PVM sąskaitos faktūros data ir Nr.",Laimėtojas,Laimėtojo nustatymo priežastis,Pirkimo suma 1 metams / įkainis   Lt,Pirkimo suma su sutarties pratęsimu Lt / galutinė suma 1 metams Lt,"Prekių, paslaugų, darbų pavadinimas",Tiekėjai,ŽAL,CPO,91 str.,Pastabos
MV,Administracinės veiklos skyrius,23 paslaugų kategorija BVPŽ 79714000-2,Paslaugos,1,2014-01-22,1/14/2014,2014-01-29 Nr. A64-11/14 (3.10.22-SM),"UAB ""Fima""",Mažiausia kaina,"29,735.01","118,940.04   ",Vaizdo stebėjimo kamerų sistemos vaizdo transliavimo paslaugos,"UAB ""Fima""; J. Sruogiaus gamybinei-komercinei įmonei ""Sireta"" ir UAB ""Elteros projektai"" (pasiūlymų nepateikė)",,,,
DK,Aprūpinimo ir transporto skyrius,BVPŽ kodas 44211200-4,Prekės,2,2014-01-22,2014-02-25,2014-03-31 Nr. A68-9/14(3.10.23-FN4),"UAB ""Klion""",Mažiausia kaina,-,"133,671.12   ","Balsavimo kabinų, balsadėžių, balsavimo iškabų ir vėliavų pirkimas","UAB ""Sentios""; UAB ""Klion""; UAB ""Eurostructus""",,,,
MV,Aprūpinimo ir transporto skyrius,BVPŽ kodas 31400000-0,Prekės,3,2014-01-22,4/7/2014,2014-04-30 sutartis Nr. A68-12/14(3.10.23-FN4),"UAB ""Varicom""",Mažiausia kaina,-,"10,768.56   ","Akumuliatoriai, galvaniniai elementai ir baterijos","UAB ""Sanmark""; UAB ""Varicom""; UAB ""Geteks""",,,,
MV,Verkių seniūnija,BVPŽ kodas 15800000-6,Prekės,4,2014-01-30,2/17/2014,2014-02-18 PVM sąskaita-faktūra Nr. ZIN0149; ,G. Zinkevičienės personalinė įmonė,Mažiausia kaina,28.34,"6,812.30   ",Įvairūs maisto produktai Verkių seniūnijos renginiams organizuoti,"G. Zinkevičienės personalinė įmonė; UAB ""K. Šriupšos kavinė-baras""; UAB ""Lukre""",,,,
MV,Miesto ūkio ir transporto departamentas,BVPŽ kodas 45451100-4,Darbai,5,2014-01-30,1/31/2014,"2014-02-10 Nr. A62-2/14(3.10.21-UK) (šventinio papuošimo orientacinė kaina 6614,76 Lt su PVM)","VšĮ ""Vizualinių komunikacijų studija"" ",Mažiausia kaina,"6,615.20","19,999.99   ","Šventinis miesto papuošimas miesto papuošimas vėliavėlėmis Vasario 16-osios, Kovo 11-osios, Mindaugo karūnavimo ir kitoms progoms","UAB ""Optimum Solution""; VšĮ ""Vizualinių komunikacijų studija""; UAB ""Reklamos menas""",,,,
MV,Personalo departamentas,BVPŽ kodas 80522000-9,Paslaugos,6,2014-01-31,1/31/2014,2014-02-14 sutartis Nr. A64-16/14(3.10.22-FN4); ,"UAB ""Kalba LT""",Taisyklių 74.9 punktas,-,"2,475.00   ",Individualūs anglų kalbos kursai,"UAB ""Kalba Lt""",,,,
MV,Verkių seniūnija,BVPŽ kodas 45420000-7,Darbai,7,2014-02-03,3/31/2014,2014-04-04 sutartis Nr. A62-10/14(3.10.21-FN4),"UAB ""Alvora""",Mažiausia kaina,-,"4,475.45   ",Verkių seniūnijos rinkimų apylinkių inventoriaus montavimo ir remonto darbai,"UAB ""Alvora""; UAB ""Stebulė""; UAB ""Jumesa""",,,,
MV,"Švietimo, kultūros ir sporto departamentas Kultūros skyrius",BVPŽ kodas 71319000-7,Paslaugos,8,2014-02-04,2/11/2014,"Renata Šukaitytė - 1980,00 Lt (Nr. A72-872/14(3.1.36-AD4)); doc. Dr. Viktorija Žilinskaitė-Vytienė - 1900,00 Lt(Nr. A72-871/14(3.1.36-AD4));   Skaistis Mikulionis - 1900,00 Lt (Nr. A72-870/14(3.1.36-AD4)); doc.dr. Eglė Jaškūnienė - 1970,00 Lt; dr. Vytautė Markeliūnienė - 1980,00 Lt (2014-05-23 Nr. A72-869/14(3.1.36-AD4)); Eglė Jaškūnienė - 1970,00 Lt (2014-07-07 Nr. A72-1216/14(3.1.36-AD4)",Renata Šukaitytė;  doc.dr. Viktorija Žilinskaitė-Vytienė ; Skaistis Mikulionis;             doc.dr. Eglė Jaškūnienė;            dr. Vytautė Markeliūnienė,Mažiausia kaina,"1750,00 Lt, 1900,00 Lt; 1900,00 Lt; 1970,00 Lt; 1980,00 Lt","9,500.00   ",Kultūros rėmimo programų projektų konkurso paraiškų vertinimas (ekspertų paslaugos)," Viktorija Žilinskaitė- Vytienė - 1900 Lt; Skaistis Mikulionis - 1900,00 Lt; doc.dr. Eglė Jaškūnienė - 1970,00 Lt; dr. Vytautė Markeliūnienė - 1980,00 Lt; Renata Šukaitytė - 1980,00 Lt",,,,
MV,Personalo departamentas,BVPŽ kodas 45232150-8,Darbai,9,2014-02-06,Nebus vykdomas,Nebus vykdomas,Nebus vykdomas,Nebus vykdomas,-,0.00   ,Archyvo pastato V. A. Graičiūno g. 20 vandentiekio remonto darbai,Nebus vykdomas,,,,
MV,Naujosios Vilnios seniūnija,BVPŽ kodas 37400000-2,Prekės,10,2014-02-06,4/15/2014,2014-05-12 PVM sąskaita-faktūra Nr. POP073633,"UAB ""Mylida""",Mažiausia kaina,-,856.68   ,Sporto dovanos,"UAB ""Sporticus LT""; UAB ""Desata""; UAB ""Mylida""",,,,
MV,Naujosios Vilnios seniūnija,BVPŽ kodas 15800000-6,Prekės,11,2014-02-06,3/17/2014,2014-06-24 PVM sąskaita-faktūra Nr. RAS00336,A. Rusakevičienės IĮ,Mažiausia kaina,-,"1,090.00   ","Vaišės renginio svečiams (Paparčio žiedas, Kalėdos)",A. Rusakevičienės IĮ; Danutės Nekraševič I. Į; L. Žukovskajos I. Į,,,,
